vin,reported_odometer,ecu_ecm,ecu_tcm,ecu_abs,ecu_airbag,ecu_cluster,engine_hours,max_variance,avg_speed,is_tampered
MA3ERLF3800000038,21385,21449,21289,21217,21531,21306,453.51,314,47.15,0
MA3ERLF3800000039,37757,161245,161178,37727,37780,37757,4819.47,123518,7.83,1
MA3ERLF3800000040,57192,119822,119997,120001,119809,57192,3684.57,62809,15.52,1
MA3ERLF3800000041,17396,17530,17360,17353,17365,17594,431.75,241,40.29,0
MA3ERLF3800000042,32182,32251,32162,32264,32240,32028,822.31,236,39.14,0
MA3ERLF3800000043,178106,178235,178216,177914,178246,177992,5021.35,332,35.47,0
MA3ERLF3800000044,58340,58452,58472,58293,58222,58463,1638.96,250,35.6,0
MA3ERLF3800000045,19495,19446,19536,19545,19312,19584,400.29,272,48.7,0
MA3ERLF3800000046,27415,27424,27613,27276,27566,27557,807.39,337,33.96,0
MA3ERLF3800000047,125572,125676,125385,125717,125570,125547,2665.62,332,47.11,0
MA3ERLF3800000048,166080,166095,166122,165998,165884,166142,3406.8,258,48.75,0
MA3ERLF3800000049,45629,79533,79686,45493,45745,45629,1902.07,34193,23.99,1
MA3ERLF3800000050,31225,119410,119359,119281,31249,31225,2176.31,88185,14.35,1
MA3ERLF3800000051,113247,113111,113062,113166,113059,113155,2463.85,107,45.96,0
MA3ERLF3800000052,139798,139847,139937,139777,139974,139608,2908.86,366,48.06,0
MA3ERLF3800000053,21811,21681,21748,21912,21905,21965,679.76,284,32.09,0
MA3ERLF3800000054,115882,116016,115785,115786,115840,115938,2199.27,231,52.69,0
MA3ERLF3800000055,89116,89134,89253,89112,89283,89190,1729.67,171,51.52,0
MA3ERLF3800000056,56606,56661,56555,56801,56446,56805,1709.68,359,33.11,0
MA3ERLF3800000057,102260,102343,102265,102105,102306,102129,3141.36,238,32.55,0
MA3ERLF3800000058,65443,65279,65492,65612,65532,65580,1568.99,333,41.71,0
MA3ERLF3800000059,106798,106911,106895,106990,106702,106689,3476.75,301,30.72,0
MA3ERLF3800000060,176090,175915,176221,176156,176040,176274,3767.09,359,46.74,0
MA3ERLF3800000061,131534,131345,131565,131509,131445,131345,2632.76,220,49.96,0
MA3ERLF3800000062,49943,50093,49745,49744,49799,49759,1546.83,349,32.29,0
MA3ERLF3800000063,150111,149941,150129,150154,150105,149915,3021.43,239,49.68,0
MA3ERLF3800000064,111644,111842,111463,111551,111624,111743,3445.94,379,32.4,0
MA3ERLF3800000065,27421,109056,109101,109241,27539,27421,1986.85,81820,13.8,1
MA3ERLF3800000066,24553,24531,24695,24503,24746,24522,676.56,243,36.29,0
MA3ERLF3800000067,51910,51817,51723,51836,51973,51866,1002.81,250,51.76,0
MA3ERLF3800000068,19868,32563,32560,32613,19793,19868,829.75,12820,23.94,1
MA3ERLF3800000069,35751,61172,61189,35822,35728,35751,1210.2,25461,29.54,1
MA3ERLF3800000070,116253,116285,116066,116181,116415,116448,2150.99,382,54.05,0
MA3ERLF3800000071,49781,139816,139582,49768,49743,49781,3989.58,90073,12.48,1
MA3ERLF3800000072,82335,114841,114873,82474,82330,82335,2245.74,32543,36.66,1
MA3ERLF3800000073,105166,135987,135902,136083,105092,105166,3629.23,30991,28.98,1
MA3ERLF3800000074,126660,126681,126541,126827,126606,126562,3287.97,286,38.52,0
MA3ERLF3800000075,47940,48032,47788,48035,47974,47833,1009.4,247,47.49,0
MA3ERLF3800000076,178449,178259,178526,178301,178524,178329,5690.13,267,31.36,0
MA3ERLF3800000077,15320,15403,15128,15291,15179,15422,428.32,294,35.77,0
MA3ERLF3800000078,48660,116976,116841,48643,48653,48660,3656.79,68333,13.31,1
MA3ERLF3800000079,93068,93118,92905,93116,93056,93185,2016.96,280,46.14,0
MA3ERLF3800000080,142656,142844,142680,142561,142504,142648,3724.6,340,38.3,0
MA3ERLF3800000081,133158,133055,133305,133133,133019,133307,2671.12,288,49.85,0
MA3ERLF3800000082,49668,49552,49732,49486,49709,49788,911.07,302,54.52,0
MA3ERLF3800000083,101935,101803,102029,101866,101777,101823,2396.29,252,42.54,0
MA3ERLF3800000084,32930,60219,60243,60438,33058,32930,1464.27,27508,22.49,1
MA3ERLF3800000085,135765,172393,172170,172345,172232,135765,4364.7,36628,31.11,1
MA3ERLF3800000086,87486,87424,87356,87404,87682,87360,1871.9,326,46.74,0
MA3ERLF3800000087,151680,151873,151507,151688,151733,151771,4234.15,366,35.82,0
MA3ERLF3800000088,93619,123691,123590,123667,93578,93619,2536.71,30113,36.91,1
MA3ERLF3800000089,61632,106361,106511,61570,61639,61632,2668.72,44941,23.09,1
MA3ERLF3800000090,35407,35464,35280,35394,35297,35366,990.46,184,35.75,0
MA3ERLF3800000091,32642,83200,82986,83047,83166,32642,2554.03,50558,12.78,1
MA3ERLF3800000092,59417,59539,59603,59326,59514,59469,1217.59,277,48.8,0
MA3ERLF3800000093,144339,144208,144460,144408,144472,144235,3792.57,264,38.06,0
MA3ERLF3800000094,52835,143665,143712,143863,143792,52835,3428.59,91028,15.41,1
MA3ERLF3800000095,124165,123968,124039,124258,124113,124117,2458.38,290,50.51,0
MA3ERLF3800000096,114850,115015,115047,114920,115014,114718,2299.43,329,49.95,0
MA3ERLF3800000097,119212,119403,119387,119198,119231,119206,2292.1,205,52.01,0
MA3ERLF3800000098,175696,175822,175652,175707,175686,175712,5124.3,170,34.29,0
MA3ERLF3800000099,62897,62834,62806,63027,62835,62992,2044.71,221,30.76,0
MA3ERLF3800000100,30078,29973,30229,30274,30110,30166,678.34,301,44.34,0
MA3ERLF3800000101,103023,103021,102914,103005,102853,103137,2324.24,284,44.33,0
MA3ERLF3800000102,173757,173862,173774,173628,173957,173844,4875.45,329,35.64,0
MA3ERLF3800000103,116825,116768,116841,116806,116781,116691,2859.05,150,40.86,0
MA3ERLF3800000104,96356,96207,96171,96323,96209,96365,2478.8,194,38.87,0
MA3ERLF3800000105,147536,147486,147390,147466,147427,147643,3352.38,253,44.01,0
MA3ERLF3800000106,55130,154460,154639,154706,154613,55130,3389.06,99576,16.27,1
MA3ERLF3800000107,166165,166217,166058,166354,166218,166021,3983.13,333,41.72,0
MA3ERLF3800000108,108676,108751,108729,108705,108714,108668,2864.04,83,37.95,0
MA3ERLF3800000109,17261,36040,36051,36085,17327,17261,1166.36,18824,14.8,1
MA3ERLF3800000110,84069,83993,83877,84226,83983,84269,1801.25,392,46.67,0
MA3ERLF3800000111,49219,74752,74923,74853,74712,49219,2168.36,25704,22.7,1
MA3ERLF3800000112,65320,65501,65138,65434,65408,65381,1531.14,363,42.66,0
MA3ERLF3800000113,112706,112733,112542,112724,112515,112809,2711.62,294,41.56,0
MA3ERLF3800000114,15952,31729,31526,31598,31616,15952,628.34,15777,25.39,1
MA3ERLF3800000115,110050,110186,109971,110119,110113,110001,2867.41,215,38.38,0
MA3ERLF3800000116,74126,74154,74280,73970,74096,74120,1638.44,310,45.24,0
MA3ERLF3800000117,80129,145893,145816,145799,80249,80129,2809.66,65764,28.52,1
MA3ERLF3800000118,91167,91286,91334,91001,91208,91331,2179.66,333,41.83,0
MA3ERLF3800000119,111610,111492,111621,111696,111780,111757,2608.05,288,42.79,0
MA3ERLF3800000120,159879,159853,159835,160035,160022,159712,3225.78,323,49.56,0
MA3ERLF3800000121,129039,129064,129128,129138,129177,129044,2405.72,133,53.64,0
MA3ERLF3800000122,70384,70489,70205,70286,70191,70421,1693.05,298,41.57,0
MA3ERLF3800000123,141749,141919,141663,141648,141874,141635,4510.47,284,31.43,0
MA3ERLF3800000124,173710,173763,173767,173706,173660,173824,3727.7,164,46.6,0
MA3ERLF3800000125,106521,106329,106448,106611,106629,106556,3086.9,300,34.51,0
MA3ERLF3800000126,38487,120628,120923,38620,38490,38487,2541.4,82436,15.14,1
MA3ERLF3800000127,159881,159804,160065,159822,159914,159913,4049.67,261,39.48,0
MA3ERLF3800000128,111643,111746,111738,111613,111539,111842,2880.04,303,38.76,0
MA3ERLF3800000129,110862,111017,110693,111042,110694,110860,2649.08,349,41.85,0
MA3ERLF3800000130,121533,177541,177514,177588,177510,121533,3965.27,56055,30.65,1
MA3ERLF3800000131,93630,93542,93719,93743,93503,93744,2314.63,241,40.45,0
MA3ERLF3800000132,99274,99238,99235,99141,99474,99471,2093.64,333,47.42,0
MA3ERLF3800000133,16269,35838,35949,16394,16239,16269,1058.7,19710,15.37,1
MA3ERLF3800000134,16059,15862,15872,15913,16203,16059,494.25,341,32.49,1
MA3ERLF3800000135,23764,118970,119189,23859,23862,23764,2254.3,95425,10.54,1
MA3ERLF3800000136,95341,95327,95482,95282,95219,95471,1794.11,263,53.14,0
MA3ERLF3800000137,85254,85280,85239,85419,85158,85343,1928.25,261,44.21,0
MA3ERLF3800000138,45601,45575,45471,45762,45565,45765,959.68,294,47.52,0
MA3ERLF3800000139,172744,172875,172706,172588,172914,172615,5539.66,326,31.18,0
MA3ERLF3800000140,34153,79814,80007,79935,79851,34153,1712.97,45854,19.94,1
MA3ERLF3800000141,166052,166049,166049,166095,166058,166216,4277.52,167,38.82,0
MA3ERLF3800000142,158590,158505,158633,158787,158748,158675,4188.42,282,37.86,0
MA3ERLF3800000143,18421,69221,69011,69197,18564,18421,2072.72,50800,8.89,1
MA3ERLF3800000144,171180,170990,171185,171310,171084,171272,3239.35,320,52.84,0
MA3ERLF3800000145,43377,77723,77900,77950,43380,43377,1761.83,34573,24.62,1
MA3ERLF3800000146,19956,20008,20020,20137,20147,20060,477.41,139,41.8,0
MA3ERLF3800000147,19529,71750,71951,19407,19577,19529,1488.35,52544,13.12,1
MA3ERLF3800000148,17961,17555,17600,17970,18016,17961,411.44,461,43.65,1
MA3ERLF3800000149,96985,97160,96904,96943,97039,97174,1866.97,270,51.95,0
MA3ERLF3800000150,94756,94568,94669,94801,94754,94587,2187.04,233,43.33,0
MA3ERLF3800000151,155403,155559,155313,155603,155345,155543,3155.48,290,49.25,0
MA3ERLF3800000152,154712,154687,154889,154559,154651,154748,4086.73,330,37.86,0
MA3ERLF3800000153,88946,88977,89098,88825,88798,88856,2118.58,300,41.98,0
MA3ERLF3800000154,106853,107011,106820,106760,106764,106985,2473.73,251,43.2,0
MA3ERLF3800000155,164593,164772,164439,164736,164671,164608,3510.32,333,46.89,0
MA3ERLF3800000156,34589,34628,34545,34717,34433,34576,731.45,284,47.29,0
MA3ERLF3800000157,60606,86012,86076,85922,85801,60606,2539.72,25470,23.86,1
MA3ERLF3800000158,91385,127879,127994,127783,91416,91385,2911.79,36609,31.38,1
MA3ERLF3800000159,78211,128781,128988,129007,78243,78211,3189.17,50796,24.52,1
MA3ERLF3800000160,71734,160661,160647,71842,71720,71734,3973.9,88941,18.05,1
MA3ERLF3800000161,22835,50252,50139,22735,22786,22835,1116.8,27517,20.45,1
MA3ERLF3800000162,32270,83026,82822,32217,32255,32270,1797.95,50809,17.95,1
MA3ERLF3800000163,134811,134911,134875,134784,134653,134921,3698.41,268,36.45,0
MA3ERLF3800000164,75102,74946,74987,74921,75175,74919,1772.39,256,42.37,0
MA3ERLF3800000165,25140,55336,55148,25285,25045,25140,1534.43,30291,16.38,1
MA3ERLF3800000166,145804,145802,145775,145962,145818,145919,3278.62,187,44.47,0
MA3ERLF3800000167,117006,116853,117161,116961,117065,116900,3249.09,308,36.01,0
MA3ERLF3800000168,93078,155952,155874,155997,93065,93078,3870.69,62932,24.05,1
MA3ERLF3800000169,76209,76071,76043,76287,76391,76107,1702.62,348,44.76,0
MA3ERLF3800000170,16959,49710,49831,49904,16925,16959,1343.32,32979,12.62,1
MA3ERLF3800000171,26024,26131,25825,25826,26033,25978,517.67,306,50.27,0
MA3ERLF3800000172,22541,59495,59424,59483,59284,22541,1786.31,36954,12.62,1
MA3ERLF3800000173,147361,147493,147190,147544,147400,147387,3188.47,354,46.22,0
MA3ERLF3800000174,50599,50547,50698,50747,50581,50447,1637.92,300,30.89,0
MA3ERLF3800000175,168920,169092,168890,168958,168750,168882,3801.16,342,44.44,0
MA3ERLF3800000176,46715,46747,46549,46556,46648,46612,1090.57,198,42.84,0
MA3ERLF3800000177,129051,128933,129219,129139,129134,129138,3972.52,286,32.49,0
MA3ERLF3800000178,54717,156243,156307,156392,156325,54717,2889.96,101675,18.93,1
MA3ERLF3800000179,168457,168278,168362,168351,168291,168459,3628.38,181,46.43,0
MA3ERLF3800000180,94991,123119,123045,95041,94845,94991,2649.44,28274,35.85,1
MA3ERLF3800000181,77357,77360,77460,77361,77429,77447,1558.77,100,49.63,0
MA3ERLF3800000182,172692,172667,172512,172865,172541,172586,3516.46,353,49.11,0
MA3ERLF3800000183,37314,37317,37224,37387,37343,37248,756.21,163,49.34,0
MA3ERLF3800000184,152278,152333,152452,152285,152332,152403,4519.31,167,33.69,0
MA3ERLF3800000185,19068,19192,18905,19176,18981,19249,410.62,344,46.44,0
MA3ERLF3800000186,76265,76381,76417,76358,76286,76070,1861.62,347,40.97,0
MA3ERLF3800000187,124713,124872,124814,124684,124667,124801,3324.15,205,37.52,0
MA3ERLF3800000188,123851,123950,123693,123682,123930,123876,3776.52,268,32.8,0
MA3ERLF3800000189,48759,48590,48700,48955,48792,48671,1116.27,365,43.68,0
MA3ERLF3800000190,86371,86246,86478,86502,86501,86371,1640.23,256,52.66,0
MA3ERLF3800000191,57952,58126,57844,57976,57917,58054,1615.84,282,35.86,0
MA3ERLF3800000192,89656,89501,89728,89854,89806,89583,2175.74,353,41.21,0
MA3ERLF3800000193,93912,94052,93793,93808,94016,93803,2187.94,259,42.92,0
MA3ERLF3800000194,64176,160054,160310,160286,160270,64176,3182.85,96134,20.16,1
MA3ERLF3800000195,40313,40309,40476,40163,40353,40317,993.41,313,40.58,0
MA3ERLF3800000196,105234,105249,105287,105081,105348,105327,1982.06,267,53.09,0
MA3ERLF3800000197,126259,126458,126210,126429,126368,126248,2613.59,248,48.31,0
MA3ERLF3800000198,15472,35981,35991,15389,15599,15472,819.19,20602,18.89,1
MA3ERLF3800000199,19232,63912,63971,63857,64039,19232,1404.15,44807,13.7,1
MA3ERLF3800000200,133155,132982,132984,133176,133066,133064,3151.76,194,42.25,0
MA3ERLF3800000201,46726,46874,46887,46570,46664,46735,1109.27,317,42.12,0
MA3ERLF3800000202,42805,42700,42642,42729,42636,42882,1065.87,246,40.16,0
MA3ERLF3800000203,109325,109175,109250,109498,109404,109459,2232.57,323,48.97,0
MA3ERLF3800000204,19164,40081,40032,19310,19207,19164,823.3,20917,23.28,1
MA3ERLF3800000205,168715,168840,168630,168723,168864,168679,4856.95,234,34.74,0
MA3ERLF3800000206,87035,143436,143355,143573,143622,87035,2892.35,56587,30.09,1
MA3ERLF3800000207,37379,37509,37389,37535,37438,37221,828.91,314,45.09,0
MA3ERLF3800000208,103126,103155,103120,102969,103319,103266,2097.88,350,49.16,0
MA3ERLF3800000209,16332,46364,46095,16403,16272,16332,1423.91,30092,11.47,1
MA3ERLF3800000210,73112,143556,143582,143776,143591,73112,2671.27,70664,27.37,1
MA3ERLF3800000211,33468,33410,33373,33508,33327,33424,614.01,181,54.51,0
MA3ERLF3800000212,26731,64089,64135,26587,26779,26731,1917.19,37548,13.94,1
MA3ERLF3800000213,102547,102547,102475,102561,102626,102697,2243.24,222,45.71,0
MA3ERLF3800000214,32728,32773,32714,32597,32685,32896,659.88,299,49.6,0
MA3ERLF3800000215,22712,72185,72251,22826,22755,22712,1382.53,49539,16.43,1
MA3ERLF3800000216,116990,116928,116929,116793,116980,116986,3738.7,193,31.29,0
MA3ERLF3800000217,145188,144996,145384,145163,145163,145334,2673.82,388,54.3,0
MA3ERLF3800000218,22126,74217,74293,74225,22232,22126,2349.52,52167,9.42,1
MA3ERLF3800000219,27671,132530,132654,132652,27802,27671,4089.23,104983,6.77,1
MA3ERLF3800000220,130902,131038,130762,130721,130827,130823,2730.95,317,47.93,0
MA3ERLF3800000221,18974,35458,35515,35452,35687,18974,764.65,16713,24.81,1
MA3ERLF3800000222,137948,138097,138143,137791,138068,138085,2662.39,352,51.81,0
MA3ERLF3800000223,156587,156774,156452,156486,156572,156426,3191.64,348,49.06,0
MA3ERLF3800000224,16502,51863,51838,51876,16470,16502,1147.6,35406,14.38,1
MA3ERLF3800000225,33221,122296,122255,122329,122363,33221,2261.41,89142,14.69,1
MA3ERLF3800000226,82714,82534,82575,82835,82707,82638,2237.82,301,36.96,0
MA3ERLF3800000227,117784,117935,117911,117847,117801,117652,2398.79,283,49.1,0
MA3ERLF3800000228,15272,60997,60781,15270,15400,15272,1490.32,45727,10.25,1
MA3ERLF3800000229,45892,80261,80382,45902,46033,45892,1579.17,34490,29.06,1
MA3ERLF3800000230,80554,80393,80744,80363,80680,80716,1968.92,381,40.91,0
MA3ERLF3800000231,168147,168089,168299,168010,168223,168055,4316.86,289,38.95,0
MA3ERLF3800000232,55451,55612,55302,55265,55268,55407,1446.56,347,38.33,0
MA3ERLF3800000233,71752,71851,71909,71928,71943,71611,1717.59,332,41.77,0
MA3ERLF3800000234,23411,111114,111249,111198,23262,23411,2910.4,87987,8.04,1
MA3ERLF3800000235,41972,42040,42137,42154,42050,41921,765.03,233,54.86,0
MA3ERLF3800000236,73614,141628,141605,73692,73667,73614,3544.03,68014,20.77,1
MA3ERLF3800000237,57126,57324,57112,57082,57278,57126,1805.18,242,31.65,0
MA3ERLF3800000238,18717,26162,25992,26267,18619,18717,649.21,7648,28.83,1
MA3ERLF3800000239,21163,87009,86992,21141,21095,21163,1669.35,65914,12.68,1
MA3ERLF3800000240,19105,60619,60820,60630,60575,19105,1221.97,41715,15.63,1
MA3ERLF3800000241,19266,19362,19422,19246,19430,19240,390.45,190,49.34,0
MA3ERLF3800000242,63407,139846,139828,139703,139958,63407,4408.6,76551,14.38,1
MA3ERLF3800000243,48670,48583,48509,48640,48640,48480,1014.75,160,47.96,0
MA3ERLF3800000244,128087,128016,128072,127963,128218,128029,2865.52,255,44.7,0
MA3ERLF3800000245,92019,91847,92121,91963,92148,91876,1720.58,301,53.48,0
MA3ERLF3800000246,38956,38859,38890,39099,38991,38982,1064.04,240,36.61,0
MA3ERLF3800000247,51222,51407,51057,51022,51200,51278,984.11,385,52.05,0
MA3ERLF3800000248,94289,141536,141507,141370,94284,94289,3408.73,47252,27.66,1
MA3ERLF3800000249,139189,139138,139378,139204,139081,139181,3984.74,297,34.93,0
MA3ERLF3800000250,67039,67089,66957,66925,67097,66920,2196.33,177,30.52,0
MA3ERLF3800000251,47104,47087,47031,47300,46952,47211,1453.37,348,32.41,0
MA3ERLF3800000252,70310,70337,70345,70233,70205,70205,1452.73,140,48.4,0
MA3ERLF3800000253,18085,18916,18855,18087,18192,18085,447.3,831,40.43,1
MA3ERLF3800000254,47209,47132,47396,47272,47179,47367,963.97,264,48.97,0
MA3ERLF3800000255,80352,80405,80460,80349,80323,80158,2054.34,302,39.11,0
MA3ERLF3800000256,178167,178054,178034,178142,178108,178169,3940.5,135,45.21,0
MA3ERLF3800000257,35037,35053,34950,34899,34865,35119,1103.1,254,31.76,0
MA3ERLF3800000258,172343,172273,172401,172399,172503,172376,3855.84,230,44.7,0
MA3ERLF3800000259,23313,65448,65572,65608,65612,23313,2113.29,42299,11.03,1
MA3ERLF3800000260,73202,108618,108746,73293,73053,73202,2598.56,35693,28.17,1
MA3ERLF3800000261,16677,16655,16740,16685,16865,16713,313.18,210,53.25,0
MA3ERLF3800000262,43265,78614,78525,78648,43355,43265,2098.9,35383,20.61,1
MA3ERLF3800000263,70317,174560,174563,174430,174579,70317,4422.35,104262,15.9,1
MA3ERLF3800000264,151892,151850,151934,151733,151841,152011,3273.23,278,46.4,0
MA3ERLF3800000265,123061,123250,123229,123088,123149,123026,3239.3,224,37.99,0
MA3ERLF3800000266,102507,102619,102670,102520,102327,102566,2684.89,343,38.18,0
MA3ERLF3800000267,46038,172863,172884,45924,46058,46038,5260.47,126960,8.75,1
MA3ERLF3800000268,42568,42723,42649,42461,42496,42590,1085.03,262,39.23,0
MA3ERLF3800000269,119212,119195,119407,119100,119015,119166,2786.21,392,42.79,0
MA3ERLF3800000270,26654,78248,78169,78298,78327,26654,2416.88,51673,11.03,1
MA3ERLF3800000271,179764,179725,179686,179756,179822,179926,4951.86,240,36.3,0
MA3ERLF3800000272,18758,43287,43152,43232,43292,18758,956.87,24534,19.6,1
MA3ERLF3800000273,21808,148684,148586,21900,21703,21808,3998.73,126981,5.45,1
MA3ERLF3800000274,22334,51860,51918,51799,22311,22334,1636.2,29607,13.65,1
MA3ERLF3800000275,37135,37252,37274,37243,37127,37248,980.17,147,37.89,0
MA3ERLF3800000276,25269,55145,55362,55111,55302,25269,1229.81,30093,20.55,1
MA3ERLF3800000277,66182,66249,66301,66283,66092,66001,1613.29,300,41.02,0
MA3ERLF3800000278,154861,155051,154813,154710,154849,154890,5146.64,341,30.09,0
MA3ERLF3800000279,22187,22296,22118,22359,22059,22084,514.47,300,43.13,0
MA3ERLF3800000280,38911,38854,39099,38977,38990,39067,853.33,245,45.6,0
MA3ERLF3800000281,78966,79054,79153,79088,78805,78817,1942.71,348,40.65,0
MA3ERLF3800000282,63347,143123,142831,63397,63406,63347,4579.63,79776,13.83,1
MA3ERLF3800000283,88447,88302,88565,88298,88318,88415,1635.34,267,54.08,0
MA3ERLF3800000284,110696,110589,110768,110667,110616,110612,2773.01,179,39.92,0
MA3ERLF3800000285,94278,94094,94158,94385,94180,94373,2555.25,291,36.9,0
MA3ERLF3800000286,16591,29634,29579,29397,16543,16591,622.85,13091,26.64,1
MA3ERLF3800000287,79378,79244,79398,79483,79335,79355,1908.5,239,41.59,0
MA3ERLF3800000288,160426,160390,160297,160506,160309,160424,4912.02,209,32.66,0
MA3ERLF3800000289,92862,93039,92671,92679,92946,92898,2109.47,368,44.02,0
MA3ERLF3800000290,19829,21754,21723,21792,21661,19829,669.31,1963,29.63,1
MA3ERLF3800000291,17228,94575,94641,17321,17304,17228,2784.08,77413,6.19,1
MA3ERLF3800000292,85176,169639,169596,85037,85211,85176,3452.08,84602,24.67,1
MA3ERLF3800000293,156132,156027,155969,156317,156080,156160,4594.52,348,33.98,0
MA3ERLF3800000294,79379,79401,79570,79348,79411,79472,1459.6,222,54.38,0
MA3ERLF3800000295,74656,74512,74708,74498,74545,74642,2477.75,210,30.13,0
MA3ERLF3800000296,153281,153180,153479,153176,153255,153242,3157.75,303,48.54,0
MA3ERLF3800000297,88153,171053,171117,171080,171181,88153,4401.8,83028,20.03,1
MA3ERLF3800000298,135458,135569,135452,135264,135408,135302,2576.8,305,52.57,0
MA3ERLF3800000299,23731,85581,85637,85668,85728,23731,2507.31,61997,9.46,1
MA3ERLF3800000300,75243,75331,75192,75426,75199,75306,2239.88,234,33.59,0
MA3ERLF3800000301,40734,104696,104786,40811,40615,40734,2274.3,64171,17.91,1
MA3ERLF3800000302,164467,164646,164542,164375,164381,164664,4253.4,289,38.67,0
MA3ERLF3800000303,119244,119201,119140,119151,119369,119144,2767.04,229,43.09,0
MA3ERLF3800000304,17076,71597,71664,71697,71704,17076,1494.75,54628,11.42,1
MA3ERLF3800000305,157954,157861,157878,158040,157883,158016,2887.86,179,54.7,0
MA3ERLF3800000306,159875,159859,159696,159813,159811,159733,4728.42,163,33.81,0
MA3ERLF3800000307,111850,111679,112002,111658,111848,111748,2381.89,344,46.96,0
MA3ERLF3800000308,48460,74420,74363,48457,48436,48460,2001.83,25984,24.21,1
MA3ERLF3800000309,178045,178154,178075,178072,178100,178078,5438.53,82,32.74,0
MA3ERLF3800000310,64983,64947,64945,64918,65169,64882,1798.15,287,36.14,0
MA3ERLF3800000311,36923,36841,36832,36755,36776,36877,719.21,122,51.34,0
MA3ERLF3800000312,130509,130461,130463,130523,130340,130396,3345.98,183,39.0,0
MA3ERLF3800000313,164188,164024,164388,163996,164027,164244,4979.28,392,32.97,0
MA3ERLF3800000314,36577,76278,76129,36655,36481,36577,1916.59,39797,19.08,1
MA3ERLF3800000315,41708,95969,96042,95840,95896,41708,1986.15,54334,21.0,1
MA3ERLF3800000316,16177,16325,16158,16201,16304,16165,341.81,167,47.33,0
MA3ERLF3800000317,45022,45032,45114,44966,45059,45073,1327.88,148,33.91,0
MA3ERLF3800000318,52292,52095,52294,52435,52359,52468,960.03,373,54.47,0
MA3ERLF3800000319,126366,126554,126502,126519,126362,126246,3658.18,308,34.54,0
MA3ERLF3800000320,104733,132414,132292,132182,104803,104733,4324.11,27681,24.22,1
